Name,model,task,split,enable_sequences,run_no,SetA/SetA/accuracy,SetA/SetA/f1_score,SetA/SetA/precision,SetA/SetA/recall,SetA/SetB/accuracy,SetA/SetB/f1_score,SetA/SetB/precision,SetA/SetB/recall,SetA/SetC/accuracy,SetA/SetC/f1_score,SetA/SetC/precision,SetA/SetC/recall,SetA/SetD/accuracy,SetA/SetD/f1_score,SetA/SetD/precision,SetA/SetD/recall,SetB/SetA/accuracy,SetB/SetA/f1_score,SetB/SetA/precision,SetB/SetA/recall,SetB/SetB/accuracy,SetB/SetB/f1_score,SetB/SetB/precision,SetB/SetB/recall,SetB/SetC/accuracy,SetB/SetC/f1_score,SetB/SetC/precision,SetB/SetC/recall,SetB/SetD/accuracy,SetB/SetD/f1_score,SetB/SetD/precision,SetB/SetD/recall,SetC/SetA/accuracy,SetC/SetA/f1_score,SetC/SetA/precision,SetC/SetA/recall,SetC/SetB/accuracy,SetC/SetB/f1_score,SetC/SetB/precision,SetC/SetB/recall,SetC/SetC/accuracy,SetC/SetC/f1_score,SetC/SetC/precision,SetC/SetC/recall,SetC/SetD/accuracy,SetC/SetD/f1_score,SetC/SetD/precision,SetC/SetD/recall,SetD/SetA/accuracy,SetD/SetA/f1_score,SetD/SetA/precision,SetD/SetA/recall,SetD/SetB/accuracy,SetD/SetB/f1_score,SetD/SetB/precision,SetD/SetB/recall,SetD/SetC/accuracy,SetD/SetC/f1_score,SetD/SetC/precision,SetD/SetC/recall,SetD/SetD/accuracy,SetD/SetD/f1_score,SetD/SetD/precision,SetD/SetD/recall
random-forest|com|m|t|57,random-forest,Multiclass,Time split,False,57,0.7990636437093017,0.4982580754017457,0.4659866257116174,0.6208772156838952,0.7536977768399005,0.3903614618900485,0.4154991346671229,0.4520268727111927,0.5947531748831466,0.3345251174890578,0.347735414210601,0.3358424562943133,0.8887394302622589,0.670157930815905,0.6804460443666837,0.673953397935314,0.7940194400874566,0.3893036600426629,0.3780501921890665,0.4133155932646601,0.8035459579440165,0.6844679168533734,0.7546145448591112,0.643871640579882,0.72401666813652,0.457886255661122,0.7251136819531526,0.4453111733059021,0.9111544013198962,0.6375392847372358,0.8323975733961108,0.6613478706159942,0.8148913921764342,0.4898025536326208,0.4711897124400022,0.5637706650435311,0.8232960917869299,0.6461913998943323,0.7129819187057899,0.6450380948345744,0.67779345621307,0.4091002802157706,0.6443670267517704,0.3991854198699256,0.9119981780975208,0.644919401901103,0.8555518822977218,0.6653458920688758,0.5574647083986881,0.4311397112643456,0.4309882462261549,0.664213065373051,0.6651543394412596,0.3664276112586839,0.3379191216500659,0.52912572423681,0.3713979407355146,0.3457958531691887,0.3165587254031123,0.4824236479883872,0.9790595903013184,0.9464904761776703,0.9490284101013944,0.9440533825014348
random-forest|seq|m|t|58,random-forest,Multiclass,Time split,True,58,0.9205079675193846,0.4653934489651177,0.5924518981788435,0.432152291725179,0.9577199425195592,0.5120284792959909,0.6326731461929819,0.4625560316080333,0.9232574880285436,0.4786307506485572,0.5007514703471164,0.4843670499508707,0.9223944327886292,0.6965148273608374,0.7472507031253638,0.6717922076425112,0.9608034678551804,0.5342092088495035,0.5468673268158637,0.5287857170358532,0.9949225610729684,0.9235993214689774,0.9756431051429134,0.88406073957408,0.990109855716566,0.7622921162874937,0.8159764990401563,0.7219766086215195,0.9275952247274016,0.5764926441697543,0.7627577867113606,0.614069880188597,0.9623908663532572,0.5568858598819008,0.5612605614787796,0.5657376277667335,0.9947309596040236,0.9186312417447928,0.9880027344348382,0.873073483446979,0.9908610059153078,0.7510168852394575,0.8509521755567153,0.714572797174255,0.9270854880174936,0.5770164289605174,0.7524012859818562,0.6126642876451712,0.6469869955430735,0.4091857358098155,0.4224673542035491,0.8059186375956727,0.6409069136196711,0.4475378548284639,0.4664501237970112,0.7077017150730246,0.6284623329473256,0.5080701579274663,0.557159055287265,0.6211974263043339,0.991910700038415,0.9583321585071825,0.9612120491402912,0.9561821598002131
random-forest|com|b|r|58,random-forest,Binary,Random split,False,58,0.9193464531360532,0.8838085015945528,0.8987551080084726,0.8711415119654404,0.7646195630143094,0.5835678065560264,0.5831588066167577,0.5839903309888548,0.7144563727180161,0.6242206095907208,0.6270715161636302,0.6219025653979734,0.8826698904432421,0.879738808891896,0.8793799730206049,0.8801148400498531,0.6456800961399143,0.5532013371053137,0.5526197107283228,0.562694951626808,0.8177469698812274,0.6963862172887296,0.685903815685712,0.710369403689995,0.7904984486117681,0.7162776887736616,0.7296053015670746,0.7068713957156345,0.8719771997993974,0.8655220145259916,0.879308881130626,0.8588618965532391,0.6738061348856634,0.6075294682507195,0.6054763533918589,0.6343387027521061,0.7088329482346265,0.6360727216036995,0.6393968186160253,0.7344249563120806,0.8173450816583419,0.7834528447272268,0.7692644662282443,0.8123059240359586,0.9030542972588386,0.9005430852396554,0.9005117264280309,0.9005745559061631,0.552241986209718,0.5250250157663254,0.5661592848157618,0.5918306889468364,0.6911103003769914,0.4988425533167949,0.5002597863116294,0.5003079773292596,0.5870541262116462,0.4972056164232156,0.4988587791807615,0.4987313277334491,0.9867793901190977,0.98642888644453,0.9866831125190216,0.9861798979898376
random-forest|com|m|r|58,random-forest,Multiclass,Random split,False,58,0.9135593075880644,0.7941003277836808,0.8512136349642505,0.7671442404044342,0.7704811707000689,0.38115325878681,0.486773958864614,0.3822293607815197,0.7137949281230207,0.4017035185740493,0.4506610697867199,0.4097072361190732,0.8261240066704449,0.7394514922346734,0.7688905968367302,0.7331164832925009,0.6484671308883567,0.3708825998755043,0.3690925698763669,0.406844406532592,0.8476144148526491,0.7645935834248077,0.804548423994571,0.7387910541366721,0.7833187681897263,0.5232941670036938,0.7543742396864371,0.4829700531959921,0.8167177007351353,0.5968483847187015,0.8186344041009895,0.6458072417370786,0.6786131305985732,0.4211914164270462,0.4170191709734411,0.4939799132590692,0.7841420406177794,0.6351753717994416,0.6751532919941602,0.6152938630270356,0.8307142799874927,0.7450301889009362,0.7998170045285935,0.7055105146543883,0.7730580891376941,0.5529370487006025,0.5299717530243164,0.606809893205163,0.5219681408688389,0.4193148026079985,0.4294699242491474,0.496382725717096,0.6897604280676152,0.3659219857526158,0.3550164978272567,0.4608834912152836,0.5555413022040135,0.3300436530004739,0.3253397142852909,0.3469750591268046,0.9781457304667271,0.9682220147823528,0.9692126000535376,0.9672484542836924
random-forest|seq|b|r|59,random-forest,Binary,Random split,True,59,0.9600430362840394,0.8556137604833864,0.874893595162616,0.8386031242166645,0.9503846153846154,0.576381968573453,0.6108404703910322,0.5602315723094171,0.9396538461538462,0.5999267169779856,0.5849174373834002,0.6241870690629756,0.9260384773568524,0.7322006669000163,0.8396661384825947,0.6836026821530051,0.6419084365956815,0.4028633728670086,0.4557632007418036,0.375103037892929,0.9961153846153846,0.973317051518748,0.9928819132251214,0.9553662140655028,0.9947692307692308,0.9543240053548386,0.987770021471876,0.9254223559557176,0.9320248594799616,0.7397347145615392,0.9005462929059087,0.6806297433078321,0.6447280552051644,0.4038226453961176,0.4558811061035969,0.3762037625710774,0.9958846153846154,0.9715931575288788,0.9937380467720572,0.9515000025024024,0.9949230769230768,0.9552714988739678,0.9939136798666516,0.9225560093264504,0.9342868893661748,0.7429738574953977,0.9302060996790882,0.6797694345677533,0.5035245232618535,0.3721406460656696,0.4727604681151698,0.4068051622445943,0.6043846153846154,0.4493466993037813,0.5406961052003891,0.7636452869754965,0.6146538461538461,0.4396171277937657,0.5309173234635338,0.744485585521914,0.9962527989763744,0.989513072498183,0.9871191754865394,0.9919373428196554
random-forest|com|b|t|58,random-forest,Binary,Time split,False,58,0.8066388611626027,0.6104945699382152,0.6335807700429458,0.5990947484569136,0.7495203148141635,0.5662882103161934,0.5777585243814753,0.5617390697701848,0.6234015345268542,0.540887193880481,0.5442101266602675,0.5403325067300188,0.9260163414166602,0.9241591763574092,0.9242627502801722,0.9240567380618456,0.8123306716098674,0.611436181317196,0.6421965975648659,0.5982105687775015,0.8098101970714779,0.6312667475892488,0.6946023609515382,0.6129192529437848,0.7588797513008202,0.684610743655679,0.7254048960696649,0.6714240051707161,0.9550635617865786,0.9533571656016544,0.9611250077294696,0.9482742679635772,0.8254135177527449,0.601748008529263,0.6664038822716373,0.5860332293738647,0.8269069195809251,0.6071223634088645,0.7973529309834537,0.5908929777163281,0.7166389231854661,0.6049544739049921,0.6630794714907684,0.6014661612679798,0.9534333522841776,0.9516351974596806,0.959837802638539,0.9463564357822186,0.5590510480536147,0.5028936669391134,0.5544053917937658,0.5959419244996331,0.6666979292449696,0.4543694898942557,0.4524260013371681,0.456986268872923,0.4124151159714261,0.3830981110572019,0.4014105504450297,0.3851703005169981,0.9944736717069358,0.9943385287647584,0.9941481010776172,0.994532173698628
random-forest|seq|b|t|59,random-forest,Binary,Time split,True,59,0.95604127236095,0.5074700920668174,0.6972781703064783,0.5092019337462911,0.9707488424077918,0.5470398846265161,0.8799474287795651,0.5290110463756676,0.967450158054521,0.506649072004295,0.8474441872449954,0.5075219633822915,0.903504624567832,0.5133159465042868,0.9515558357749508,0.5201675115715231,0.9659319860797364,0.7264939662466046,0.8522762860997097,0.6703113447091088,0.9950822289637554,0.9560511671437038,0.9848467798448106,0.9306721400482972,0.9927388814121624,0.9370764610309684,0.9871156781416146,0.8968839658448409,0.9431606631009722,0.7881065561447632,0.9685907278293278,0.7180461527427131,0.9658709322913488,0.7316605001278266,0.8444605601247074,0.6776098405772134,0.9952418968545426,0.9570388826086766,0.991681692473976,0.9272125192487036,0.991142687239836,0.9229689976414563,0.973523553422958,0.8827184665005448,0.9429833633757868,0.7890546063267643,0.9612703421683996,0.7201989465377856,0.6148727028512119,0.4641357839744053,0.5483224354027165,0.782640083005282,0.6088456011496088,0.4350696374555701,0.5297321898364468,0.743609901982631,0.610497324027417,0.438207817554154,0.5304587632349159,0.7323897053724567,0.9959885937176798,0.9889593690246596,0.9868609362469678,0.991081270133754
random-forest|com|b|r|59,random-forest,Binary,Random split,False,59,0.9195765752712458,0.8841636162778386,0.8990250651666621,0.871556187247124,0.7714135149377761,0.5836743306303434,0.5858866944325765,0.5817762669476036,0.7177194993866605,0.6231360376318013,0.6283923977982089,0.6194217022954329,0.8816159112129527,0.8785870282706438,0.8784418440252275,0.8787348979053445,0.6460892021580342,0.5542484262349054,0.5536433987962861,0.5640321229017408,0.8067493615468807,0.7056844539667098,0.6865088714569851,0.7452020685393743,0.7901937832225581,0.727176531891473,0.7291279161317037,0.7253407612500335,0.8688682668667257,0.8624092381799461,0.8752631612209882,0.8560686194041032,0.6769340913158725,0.6099426925923601,0.6073556628582993,0.6361180601470309,0.7291661599578418,0.6428110913781476,0.6368847655171072,0.7181700965220815,0.821105293962013,0.7813267380481135,0.7700869517911244,0.7982735312417273,0.9036210404426304,0.901320640251108,0.9005502902035685,0.9021712519631546,0.5500345183202788,0.5234110720517914,0.5655991144915552,0.5909925851095443,0.6902792979042524,0.5004300597096866,0.5019019823072022,0.5022775754614356,0.5824600928427686,0.4952839855590995,0.4974784568047637,0.4971630666865577,0.9866448395790608,0.986290030602565,0.986571222909192,0.9860152224160856
random-forest|com|b|rsd|59,random-forest,Binary,Random with same distribution,False,59,0.9187839323611384,0.8828835357300671,0.8982693559079237,0.8699054944864566,0.7720711335233146,0.5855279483993885,0.5876274472788718,0.5837056177719782,0.7125241527496051,0.6193841505276356,0.6230831126407586,0.6165682760189396,0.8832450262271087,0.8803415037753106,0.8799429355949542,0.8807614445193823,0.638546309948947,0.5509853569802705,0.5513899874047059,0.5626282061438754,0.8196326578594274,0.6952176437704716,0.6867052673766396,0.7058643336998186,0.7882735895195107,0.7119049942147125,0.726550048439502,0.7019266323604811,0.8771678392246642,0.8713503803906532,0.8831298698887105,0.8652397640320028,0.6704480563202618,0.6056023591085813,0.6042586418265039,0.6336928464088238,0.7338897649285949,0.6421608888653527,0.6343203350151161,0.7093827749205786,0.8195819670159629,0.7771004570577276,0.7676345097874369,0.7901636027555254,0.9057088046839802,0.9035146584596369,0.9025425694171102,0.9046207865512276,0.5512788824587271,0.5242970680110997,0.5658590295331615,0.5913902379121654,0.6963164444588574,0.5024119673459986,0.5033041869011161,0.5038505579427257,0.5879440698485492,0.4976164582837165,0.4991752341559305,0.4990851846345704,0.9864165390817556,0.9860567639638786,0.9862980010989038,0.9858202573630518
random-forest|seq|m|t|59,random-forest,Multiclass,Time split,True,59,0.9205690213077722,0.4735763562078726,0.5984665780967854,0.4418611717402761,0.9565384001277344,0.5116326909635982,0.6210838666688161,0.4643913275431358,0.920440674783262,0.4815080091797701,0.5011991370868923,0.4892051706309441,0.9228007446588458,0.6964656273294683,0.7442889654282093,0.6741450254391862,0.9625129739300324,0.5595046836411757,0.5485779020061657,0.5776741353336275,0.9946990260258662,0.9176236814076802,0.9698304841561488,0.8766329172960853,0.9894213013677192,0.752586609424371,0.8012253325260991,0.7146998017200864,0.9277725244525872,0.5776810393655545,0.7840065305285728,0.6158137717673022,0.961841382257769,0.54909143950585,0.5492857317654197,0.5563269867260965,0.994762893182181,0.919537463917977,0.9885991163633956,0.8739131140095314,0.9906106225157272,0.7393386038400632,0.836856506973219,0.7058229338820312,0.927469637422062,0.579956755860885,0.7727374347225132,0.6139655550535267,0.6366078515171867,0.4048647672080274,0.4215409814839261,0.7981737268641454,0.6246527223375379,0.4391095640500442,0.4634589622982705,0.6962702731372673,0.6180714218647304,0.4998422570363794,0.5514153242700387,0.6151122901246278,0.991910700038415,0.9581772187987392,0.9608403430547758,0.956167586885047
