run_id,run_name,model,task,split,enable_sequences,run_no,train_set,val_set,test_sets,case_study/SetA/accuracy,case_study/SetA/component_evaluation/accuracy,case_study/SetA/component_evaluation/f1_score,case_study/SetA/component_evaluation/precision,case_study/SetA/component_evaluation/recall,case_study/SetA/event_evaluation/accuracy,case_study/SetA/event_evaluation/f1_score,case_study/SetA/event_evaluation/precision,case_study/SetA/event_evaluation/recall,case_study/SetA/f1_score,case_study/SetA/precision,case_study/SetA/recall,case_study/SetB/accuracy,case_study/SetB/component_evaluation/accuracy,case_study/SetB/component_evaluation/f1_score,case_study/SetB/component_evaluation/precision,case_study/SetB/component_evaluation/recall,case_study/SetB/event_evaluation/accuracy,case_study/SetB/event_evaluation/f1_score,case_study/SetB/event_evaluation/precision,case_study/SetB/event_evaluation/recall,case_study/SetB/f1_score,case_study/SetB/precision,case_study/SetB/recall,case_study/SetC/accuracy,case_study/SetC/component_evaluation/accuracy,case_study/SetC/component_evaluation/f1_score,case_study/SetC/component_evaluation/precision,case_study/SetC/component_evaluation/recall,case_study/SetC/event_evaluation/accuracy,case_study/SetC/event_evaluation/f1_score,case_study/SetC/event_evaluation/precision,case_study/SetC/event_evaluation/recall,case_study/SetC/f1_score,case_study/SetC/precision,case_study/SetC/recall,case_study/SetD/accuracy,case_study/SetD/component_evaluation/accuracy,case_study/SetD/component_evaluation/f1_score,case_study/SetD/component_evaluation/precision,case_study/SetD/component_evaluation/recall,case_study/SetD/event_evaluation/accuracy,case_study/SetD/event_evaluation/f1_score,case_study/SetD/event_evaluation/precision,case_study/SetD/event_evaluation/recall,case_study/SetD/f1_score,case_study/SetD/precision,case_study/SetD/recall,case_study/accuracy/SetA_accuracy,case_study/accuracy/SetB_accuracy,case_study/accuracy/SetC_accuracy,case_study/accuracy/SetD_accuracy
f87f2a2q,mlp|seq|b|rsd|12,mlp,Binary,Random with same distribution,True,12,SetD,SetC,"SetA,SetB",,0.6674754580059212,0.441077257924537,0.4829505998758588,0.4522281381427945,,,,,,,,,0.976246153846154,0.8596887499699395,0.8257805681427215,0.9026933981622358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6674754580059212,0.976246153846154,0.9610692307692308,0.9602249630561308
y4ohxts1,mlp|seq|m|t|12,mlp,Multiclass,Time split,True,12,SetD,SetC,"SetA,SetB",,0.6657391536629343,0.3348230316281536,0.3569350232753197,0.34941202393910253,,,,,,,,,0.9696923076923076,0.6167188039484021,0.5819936702958066,0.683527942842206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6657391536629343,0.9696923076923076,0.9505307692307692,0.9590569784100336
57ay3mrq,mlp|seq|m|r|12,mlp,Multiclass,Random split,True,12,SetD,SetC,"SetA,SetB",,0.7550401056622814,0.4291938249894627,0.6632669428728729,0.3948708953991092,,,,,,,,,0.9659846153846152,0.6576858018871289,0.8348240365105859,0.7133986816194079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7550401056622814,0.9659846153846152,0.942253846153846,0.9561671154131256
znwdo9lr,mlp|seq|m|rsd|12,mlp,Multiclass,Random with same distribution,True,12,SetD,SetC,"SetA,SetB",,0.6660433779281586,0.4001515221930046,0.6486522199189616,0.36087816924850497,,,,,,,,,0.9712846153846154,0.6874407491454947,0.8479590298174844,0.7275631108543213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6660433779281586,0.9712846153846154,0.9588307692307692,0.9522251443481996
ws3symcz,mlp|seq|b|t|12,mlp,Binary,Time split,True,12,SetD,SetC,"SetA,SetB",,0.6198458102382596,0.42595606597112334,0.4833250256547369,0.44851615267579126,,,,,,,,,0.955223076923077,0.7919896558146077,0.7294284237293673,0.9194720056254004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6198458102382596,0.955223076923077,0.9350076923076924,0.9837863897984038
f7q56s0n,mlp|seq|m|rsd|13,mlp,Multiclass,Random with same distribution,True,13,SetD,SetC,"SetA,SetB",,0.6355764307815596,0.34995053349784744,0.36656726915582705,0.4160523739564052,,,,,,,,,0.9364076923076924,0.4109678425453563,0.3949986300611105,0.465967230233979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6355764307815596,0.9364076923076924,0.926946153846154,0.9806949277630655
srdtsjtp,mlp|seq|m|r|13,mlp,Multiclass,Random split,True,13,SetD,SetC,"SetA,SetB",,0.647819602430826,0.3047584724980137,0.3342262982029507,0.4035808905693865,,,,,,,,,0.928953846153846,0.5888509342033866,0.5266113273652245,0.7531759046189431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.647819602430826,0.928953846153846,0.9202230769230768,0.950425870751455
v4d83ppb,mlp|seq|b|r|13,mlp,Binary,Random split,True,13,SetD,SetC,"SetA,SetB",,0.653273378892772,0.4359378292818296,0.482330290701288,0.448904400431242,,,,,,,,,0.9572384615384616,0.7918611574412069,0.7343399395418836,0.8991682640334722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.653273378892772,0.9572384615384616,0.939946153846154,0.9718734148138932
2xn3skyq,mlp|seq|m|t|13,mlp,Multiclass,Time split,True,13,SetD,SetC,"SetA,SetB",,0.90770132597259,0.38705009419413,0.5685300467184035,0.3683321664054656,,,,,,,,,0.9850230769230768,0.688141069724716,0.9014187686704572,0.6525640943074444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.90770132597259,0.9850230769230768,0.983246153846154,0.91190818380604
7nsq6917,mlp|seq|b|t|13,mlp,Binary,Time split,True,13,SetD,SetC,"SetA,SetB",,0.619979372110797,0.4308965970913637,0.4880241850247486,0.46277719428913094,,,,,,,,,0.962246153846154,0.8153356552486934,0.7536650042179942,0.9288403116992312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.619979372110797,0.962246153846154,0.9360153846153846,0.9908832716031049
